Running Order	Country	Artist	Song
1	🇨🇿 Czech Republic	We Are Domi	Lights Off
2	🇷🇴 Romania	Wrs	Llámame
3	🇵🇹 Portugal	Maro	Saudade, saudade
4	🇫🇮 Finland	The Rasmus	Jezebel
5	🇨🇭 Switzerland	Marius Bear	Boys Do Cry
6	🇫🇷 France	Alvan & Ahez	Fulenn
7	🇳🇴 Norway	Subwoolfer	Give That Wolf a Banana
8	🇦🇲 Armenia	Rosa Linn	Snap
9	🇮🇹 Italy	Mahmood and Blanco	Brividi
10	🇪🇸 Spain	Chanel	SloMo
11	🇳🇱 Netherlands	S10	De diepte
12	🇺🇦 Ukraine	Kalush Orchestra	Stefania
13	🇩🇪 Germany	Malik Harris	Rockstars
14	🇱🇹 Lithuania	Monika Liu	Sentimentai
15	🇦🇿 Azerbaijan	Nadir Rustamli	Fade to Black
16	🇧🇪 Belgium	Jérémie Makiese	Miss You
17	🇬🇷 Greece	Amanda Georgiadi Tenfjord	Die Together
18	🇮🇸 Iceland	Systur	Með hækkandi sól
19	🇲🇩 Moldova	Zdob și Zdub and Advahov Brothers	Trenulețul
20	🇸🇪 Sweden	Cornelia Jakobs	Hold Me Closer
21	🇦🇺 Australia	Sheldon Riley	Not the Same
22	🇬🇧 United Kingdom	Sam Ryder	Space Man
23	🇵🇱 Poland	Ochman	River
24	🇷🇸 Serbia	Konstrakta	In corpore sano
25	🇪🇪 Estonia	Stefan	Hope
