Running Order	Country	Artist	Song
1	🇲🇩 Moldova	Satoshi	Viva, Moldova
2	🇸🇪 Sweden	Felicia	My System
3	🇭🇷 Croatia	Lelek	Andromeda
4	🇬🇷 Greece	Akylas	Ferto
5	🇵🇹 Portugal	Bandidos do Cante	Rosa
6	🇬🇪 Georgia	Bzikebi	On Replay
7	🇫🇮 Finland	Linda Lampenius & Pete Parkkonen	Liekinheitin
8	🇲🇪 Montenegro	Tamara Živković	Nova zora
9	🇪🇪 Estonia	Vanilla Ninja	Too Epic to Be True
10	🇮🇱 Israel	Noam Bettan	Michelle
11	🇧🇪 Belgium	Essyla	Dancing on the Ice
12	🇱🇹 Lithuania	Lion Ceccah	Sólo quiero más
13	🇸🇲 San Marino	Senhit	Superstar
14	🇵🇱 Poland	Alicja	Pray
15	🇷🇸 Serbia	Lavina	Kraj mene
