Country	Artist	Song
🇩🇰 Denmark	Søren Torpegaard Lund	Før Vi Går Hjem
🇩🇪 Germany	Sarah Engels	Fire
🇮🇱 Israel	Noam Bettan	Michelle
🇧🇪 Belgium	Essyla	Dancing on the Ice
🇦🇱 Albania	Alis	Nân
🇬🇷 Greece	Akylas	Ferto
🇺🇦 Ukraine	Leléka	Ridnym
🇦🇺 Australia	Delta Goodrem	Eclipse
🇷🇸 Serbia	Lavina	Kraj Mene
🇲🇹 Malta	Aidan	Bella
🇨🇿 Czechia	Daniel Žižka	Crossroads
🇧🇬 Bulgaria	Dara	Bangaranga
🇭🇷 Croatia	Lelek	Andromeda
🇬🇧 United Kingdom	Look Mum No Computer	Eins, Zwei, Drei
🇫🇷 France	Monroe	Regarde !
🇲🇩 Moldova	Satoshi	Viva, Moldova
🇫🇮 Finland	Linda Lampenius & Pete Parkkonen	Liekinheitin
🇵🇱 Poland	Alicja	Pray
🇱🇹 Lithuania	Lion Ceccah	Sólo Quiero Más
🇸🇪 Sweden	Felicia	My System
🇨🇾 Cyprus	Antigoni	Jalla
🇮🇹 Italy	Sal Da Vinci	Per Sempre Sì
🇳🇴 Norway	Jonas Lovv	Ya Ya Ya
🇷🇴 Romania	Alexandra Căpitănescu	Choke Me
🇦🇹 Austria	Cosmó	Tanzschein
